op,src_dtype,dst_dtype,shape_path,vf_impl_kind,tail_kind,op_params,formula_kind,param0,param1,param2,param3
TADD,fp16,none,1D,NO_POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TADD,fp16,none,1D,NO_POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TADD,fp16,none,1D,POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TADD,fp16,none,1D,POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TADD,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp16,none,2D,POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp16,none,2D,POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TADD,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TADD,fp32,none,1D,POST_UPDATE,full,,linear,1.2469671,55.073657,0,0
TADD,fp32,none,1D,POST_UPDATE,tail,,linear,1.2469671,55.073657,0,0
TADD,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.8749443,2.8762808,44.344619,0
TADD,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.8749443,2.8762808,44.344619,0
TDIVS,fp16,none,1D,NO_POST_UPDATE,full,,linear,3.5491803,68.737705,0,0
TDIVS,fp16,none,1D,NO_POST_UPDATE,tail,,linear,3.5491803,68.737705,0,0
TDIVS,fp16,none,1D,POST_UPDATE,full,,linear,3.5491803,68.737705,0,0
TDIVS,fp16,none,1D,POST_UPDATE,tail,,linear,3.5491803,68.737705,0,0
TDIVS,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,3.9981682,-0.12080507,65.159204,0
TDIVS,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,3.9981682,-0.12080507,65.159204,0
TDIVS,fp16,none,2D,POST_UPDATE,full,,nested_loop,3.9981682,-0.12080507,65.159204,0
TDIVS,fp16,none,2D,POST_UPDATE,tail,,nested_loop,3.9981682,-0.12080507,65.159204,0
TDIVS,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.9081456,64.516464,0,0
TDIVS,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.9081456,64.516464,0,0
TDIVS,fp32,none,1D,POST_UPDATE,full,,linear,1.9081456,64.516464,0,0
TDIVS,fp32,none,1D,POST_UPDATE,tail,,linear,1.9081456,64.516464,0,0
TDIVS,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8688724,2.4753589,62.942563,0
TDIVS,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8688724,2.4753589,62.942563,0
TDIVS,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.8688724,2.4753589,62.942563,0
TDIVS,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.8688724,2.4753589,62.942563,0
TEXP,fp16,none,1D,NO_POST_UPDATE,full,,linear,3.7622951,65.934426,0,0
TEXP,fp16,none,1D,NO_POST_UPDATE,tail,,linear,3.7622951,65.934426,0,0
TEXP,fp16,none,1D,POST_UPDATE,full,,linear,3.7622951,65.934426,0,0
TEXP,fp16,none,1D,POST_UPDATE,tail,,linear,3.7622951,65.934426,0,0
TEXP,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,3.9981682,-0.12080507,64.159204,0
TEXP,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,3.9981682,-0.12080507,64.159204,0
TEXP,fp16,none,2D,POST_UPDATE,full,,nested_loop,3.9981682,-0.12080507,64.159204,0
TEXP,fp16,none,2D,POST_UPDATE,tail,,nested_loop,3.9981682,-0.12080507,64.159204,0
TEXP,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.9670711,62.656846,0,0
TEXP,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.9670711,62.656846,0,0
TEXP,fp32,none,1D,POST_UPDATE,full,,linear,1.9670711,62.656846,0,0
TEXP,fp32,none,1D,POST_UPDATE,tail,,linear,1.9670711,62.656846,0,0
TEXP,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8548854,2.5442386,60.598247,0
TEXP,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8548854,2.5442386,60.598247,0
TEXP,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.8548854,2.5442386,60.598247,0
TEXP,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.8548854,2.5442386,60.598247,0
TMINS,fp16,none,1D,NO_POST_UPDATE,full,,linear,1.0589255,53.140381,0,0
TMINS,fp16,none,1D,NO_POST_UPDATE,tail,,linear,1.0589255,53.140381,0,0
TMINS,fp16,none,1D,POST_UPDATE,full,,linear,1.0589255,53.140381,0,0
TMINS,fp16,none,1D,POST_UPDATE,tail,,linear,1.0589255,53.140381,0,0
TMINS,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp16,none,2D,POST_UPDATE,full,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp16,none,2D,POST_UPDATE,tail,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.0589255,53.140381,0,0
TMINS,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.0589255,53.140381,0,0
TMINS,fp32,none,1D,POST_UPDATE,full,,linear,1.0589255,53.140381,0,0
TMINS,fp32,none,1D,POST_UPDATE,tail,,linear,1.0589255,53.140381,0,0
TMINS,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.1016757,4.5314383,49.627872,0
TMINS,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.1016757,4.5314383,49.627872,0
TMUL,fp16,none,1D,NO_POST_UPDATE,full,,linear,1.1941075,56.285962,0,0
TMUL,fp16,none,1D,NO_POST_UPDATE,tail,,linear,1.1941075,56.285962,0,0
TMUL,fp16,none,1D,POST_UPDATE,full,,linear,1.1941075,56.285962,0,0
TMUL,fp16,none,1D,POST_UPDATE,tail,,linear,1.1941075,56.285962,0,0
TMUL,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp16,none,2D,POST_UPDATE,full,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp16,none,2D,POST_UPDATE,tail,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.1941075,56.285962,0,0
TMUL,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.1941075,56.285962,0,0
TMUL,fp32,none,1D,POST_UPDATE,full,,linear,1.1941075,56.285962,0,0
TMUL,fp32,none,1D,POST_UPDATE,tail,,linear,1.1941075,56.285962,0,0
TMUL,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.8708194,2.9123738,44.844619,0
TMUL,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.8708194,2.9123738,44.844619,0
TNEG,fp16,none,1D,NO_POST_UPDATE,full,,linear,1.0589255,55.140381,0,0
TNEG,fp16,none,1D,NO_POST_UPDATE,tail,,linear,1.0589255,55.140381,0,0
TNEG,fp16,none,1D,POST_UPDATE,full,,linear,1.0589255,55.140381,0,0
TNEG,fp16,none,1D,POST_UPDATE,tail,,linear,1.0589255,55.140381,0,0
TNEG,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,1.0952879,4.5652633,51.508464,0
TNEG,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.0952879,4.5652633,51.508464,0
TNEG,fp16,none,2D,POST_UPDATE,full,,nested_loop,1.0952879,4.5652633,51.508464,0
TNEG,fp16,none,2D,POST_UPDATE,tail,,nested_loop,1.0952879,4.5652633,51.508464,0
TNEG,fp32,none,1D,NO_POST_UPDATE,full,,linear,1.0589255,55.140381,0,0
TNEG,fp32,none,1D,NO_POST_UPDATE,tail,,linear,1.0589255,55.140381,0,0
TNEG,fp32,none,1D,POST_UPDATE,full,,linear,1.0589255,55.140381,0,0
TNEG,fp32,none,1D,POST_UPDATE,tail,,linear,1.0589255,55.140381,0,0
TNEG,fp32,none,2D,NO_POST_UPDATE,full,,nested_loop,1.0952879,4.5652633,51.508464,0
TNEG,fp32,none,2D,NO_POST_UPDATE,tail,,nested_loop,1.0952879,4.5652633,51.508464,0
TNEG,fp32,none,2D,POST_UPDATE,full,,nested_loop,1.0952879,4.5652633,51.508464,0
TNEG,fp32,none,2D,POST_UPDATE,tail,,nested_loop,1.0952879,4.5652633,51.508464,0
TRECIP,fp16,none,1D,NO_POST_UPDATE,full,default,linear,3.5491803,68.737705,0,0
TRECIP,fp16,none,1D,NO_POST_UPDATE,full,high_precision,linear,168.14754,40.213115,0,0
TRECIP,fp16,none,1D,NO_POST_UPDATE,tail,default,linear,3.5491803,68.737705,0,0
TRECIP,fp16,none,1D,NO_POST_UPDATE,tail,high_precision,linear,168.14754,40.213115,0,0
TRECIP,fp16,none,1D,POST_UPDATE,full,default,linear,3.5491803,68.737705,0,0
TRECIP,fp16,none,1D,POST_UPDATE,full,high_precision,linear,168.14754,40.213115,0,0
TRECIP,fp16,none,1D,POST_UPDATE,tail,default,linear,3.5491803,68.737705,0,0
TRECIP,fp16,none,1D,POST_UPDATE,tail,high_precision,linear,168.14754,40.213115,0,0
TRECIP,fp16,none,2D,NO_POST_UPDATE,full,default,nested_loop,3.9981682,-0.12080507,65.159204,0
TRECIP,fp16,none,2D,NO_POST_UPDATE,full,high_precision,nested_loop,168.68263,1.5034374,56.228856,0
TRECIP,fp16,none,2D,NO_POST_UPDATE,tail,default,nested_loop,3.9981682,-0.12080507,65.159204,0
TRECIP,fp16,none,2D,NO_POST_UPDATE,tail,high_precision,nested_loop,168.68263,1.5034374,56.228856,0
TRECIP,fp16,none,2D,POST_UPDATE,full,default,nested_loop,3.9981682,-0.12080507,65.159204,0
TRECIP,fp16,none,2D,POST_UPDATE,full,high_precision,nested_loop,168.68263,1.5034374,56.228856,0
TRECIP,fp16,none,2D,POST_UPDATE,tail,default,nested_loop,3.9981682,-0.12080507,65.159204,0
TRECIP,fp16,none,2D,POST_UPDATE,tail,high_precision,nested_loop,168.68263,1.5034374,56.228856,0
TRECIP,fp32,none,1D,NO_POST_UPDATE,full,default,linear,1.9081456,64.516464,0,0
TRECIP,fp32,none,1D,NO_POST_UPDATE,full,high_precision,linear,345.21788,48.715084,0,0
TRECIP,fp32,none,1D,NO_POST_UPDATE,tail,default,linear,1.9081456,64.516464,0,0
TRECIP,fp32,none,1D,NO_POST_UPDATE,tail,high_precision,linear,345.21788,48.715084,0,0
TRECIP,fp32,none,1D,POST_UPDATE,full,default,linear,1.9081456,64.516464,0,0
TRECIP,fp32,none,1D,POST_UPDATE,full,high_precision,linear,345.21788,48.715084,0,0
TRECIP,fp32,none,1D,POST_UPDATE,tail,default,linear,1.9081456,64.516464,0,0
TRECIP,fp32,none,1D,POST_UPDATE,tail,high_precision,linear,345.21788,48.715084,0,0
TRECIP,fp32,none,2D,NO_POST_UPDATE,full,default,nested_loop,1.8688724,2.4753589,62.942563,0
TRECIP,fp32,none,2D,NO_POST_UPDATE,full,high_precision,nested_loop,346.5007,0.0052786834,38.900585,0
TRECIP,fp32,none,2D,NO_POST_UPDATE,tail,default,nested_loop,1.8688724,2.4753589,62.942563,0
TRECIP,fp32,none,2D,NO_POST_UPDATE,tail,high_precision,nested_loop,346.5007,0.0052786834,38.900585,0
TRECIP,fp32,none,2D,POST_UPDATE,full,default,nested_loop,1.8688724,2.4753589,62.942563,0
TRECIP,fp32,none,2D,POST_UPDATE,full,high_precision,nested_loop,346.5007,0.0052786834,38.900585,0
TRECIP,fp32,none,2D,POST_UPDATE,tail,default,nested_loop,1.8688724,2.4753589,62.942563,0
TRECIP,fp32,none,2D,POST_UPDATE,tail,high_precision,nested_loop,346.5007,0.0052786834,38.900585,0
TRSQRT,fp16,none,1D,NO_POST_UPDATE,full,,linear,8.1065574,81.098361,0,0
TRSQRT,fp16,none,1D,NO_POST_UPDATE,tail,,linear,8.1065574,81.098361,0,0
TRSQRT,fp16,none,1D,POST_UPDATE,full,,linear,8.1065574,81.098361,0,0
TRSQRT,fp16,none,1D,POST_UPDATE,tail,,linear,8.1065574,81.098361,0,0
TRSQRT,fp16,none,2D,NO_POST_UPDATE,full,,nested_loop,8.011194,0.05721393,80.711443,0
TRSQRT,fp16,none,2D,NO_POST_UPDATE,tail,,nested_loop,8.011194,0.05721393,80.711443,0
